aurorayarnsofalaska@gmail.com,Aurora ,Yarns,US,Alaska,Skagaway,"602 Broadway, Skagway, AK 99840, United States",19076120712,99840,http://www.aurorayarnsofalaska.com/,,Yarn Store
woolymammothalaska@gmail.com,Cabin ,Fever,US,Alaska,Anchorage,"412 G St, Anchorage, AK 99501, United States",19072783522,99501,http://www.woolymammothalaska.com/,,Yarn Store
fabulousfiberartsandmore@gmail.com,Fabulous,Fiver Arts and More,US,Alaska,Ketchikan,"716 Totem Way #100, Ketchikan, AK 99901, United States",19072259161,99901,https://fabulousfiberartsak.com/,,Yarn Store
,Far ,North Fibres,US,Alaska,Anchorage,"3960 Doroshin Ave, Anchorage, AK 99516, United States",19072790332,99516,,,Yarn Store
custhelp@michaels.com,Michaels ,,US,Alaska,Anchorage,"Madigan Place, 8571 Old Seward Hwy, Anchorage, AK 99515, United States",19073368600,99515,,,Craft Store
annie@akfnyc.com,Far ,North Yarn Co.,US,Alaska,Anchorage,"751 E 36th Ave #112, Anchorage, AK 99503, United States",19072585648,99503,https://www.akfnyc.com/,,Yarn Store
sales@northernthreads.biz,Northern ,Threads Inc.,US,Alaska,Fairbanks,"1875 University Ave S, Fairbanks, AK 99709, United States",19079312599,99709,https://www.northernthreads.net/,,Fabric Store
sandy@polychromefibers.com,Polychrome,Fibres,US,Alaska,Denali Park,"Denali National Park and Preserve, 238.9 Parks Hwy, Denali National Park and Preserve, AK 99755, United States",,99755,https://www.polychromefibers.com/,,Yarn Store
glacierpurls@gmail.com,Glacier ,Purls,US,Alaska,Palmer,"1150 S Colony Way Ste 8, Palmer, AK 99645, United States",19077073338,99645,,,Yarn Store
customer.service@joann.com,"JOANN
",Fabric and Crafts,US,Alaska,Anchorage,"3801 Old Seward Hwy, Anchorage, AK 99503, United States",19072027822,99503,https://www.joann.com/?utm_campaign=website-homepage&utm_medium=google&utm_content=website&utm_source=local-listing,,Craft Store
robinsnestfiberarts@gmail.com,Robin's ,Nest Fiber Arts,US,Alaska,,,19283257632,,https://robinsnestfiberarts.com/,,Yarn Store
"
TheFiberingSquad@gmail.com",The Fibering,Squad,US,Alaska,Anchorage,"3239 Hiland Dr, Anchorage, AK 99504, United States",19079529795,99504,,,Craft Store
hello@thenetloftak.com,The Net ,Loft,US,Alaska,Cordova,"140 Adams Ave, Cordova, AK 99574, United States",19074247337,99574,https://thenetloftak.com/,,Craft Store
therookeryfibershop@gmail.com,The Rookery,,US,Alaska,Kodiak,"103 Center St, Kodiak, AK 99615, United States",19074860052,99615,https://www.therookeryfibershop.com/,,Yarn Store
deborah@untangledyarnandfiber.com,Untangled ,Yarn & Fiber,US,Alaska,Ketchikan,"1624 Tongass Ave, Ketchikan, AK 99901, United States",19072259276,99901,https://untangledyarnandfiber.com/,,Yarn Store
dcknits112@msn.com,DC,Knits,US,Arizona ,Tucson,"2162 W Speedway Blvd Apt 10108, Tucson, AZ 85745, United States",15757707261,85745,https://www.dcknits.com/,,Clothing store
support@familyartsneedlework.com,Family ,Arts Needlework Shop,US,Arizona ,Phoenix,"5555 N 7th St Ste 144, Phoenix, AZ 85014, United States",16022770694,85014,https://familyartsneedlework.com/,,Craft Store
Crochetbyliza123@gmail.com,Crochet ,by Liza,US,Arizona ,Peoria,"Unknown, Peoria, AZ 85345, United States",14804448866,85345,https://www.crochetbyliza.com/,,Craft Store
contact@sansoxygen.com,SAS,Fibres,US,Arizona ,Phoenix,"1111 E Indian School Rd, Phoenix, AZ 85014, United States",16022792171,85014,https://sasfabrics.com/,,Fabric Store
info@quailrunneedlework.com,Quail,Run Needle Work,US,Arizona ,Scotsdalle,"7704 E Doubletree Ranch Rd #125, Scottsdale, AZ 85258, United States",14805511423,85258,https://quailrunneedlework.com/,,Needle work shop
Bestitchednpt@icloud.com,Bestitched ,Needlepoint,US,Arizona ,Scotsdalle,"8658 E Shea Blvd #175, Scottsdale, AZ 85260, United States",14809910706,85260,https://bestitchedneedlepointshop.com/,,Needle work shop
ginaperkesdesigns@gmail.com,The Copper,Needle,US,Arizona,Payson,"201 W Main St, Payson, AZ 85541, United States",19283634036,85541,https://thecopperneedle.com/,,Quilt Shop
yarn@wickenburg.com,Isabelle's ,Parlour,US,Arizona,Wickenburg,"51020 U.S. Hwy 60 89 b, Wickenburg, AZ 85390, United States",19286844937,85390,https://www.isabellesparlour.com/,,Yarn Store
info@tempeyarn.com,Tempe,Yarn & Fiber,US,Arizona,Tempe,"1415 E University Dr A102, Tempe, AZ 85288, United States",14805579166,85228,https://www.tempeyarn.com/,,Yarn Store
sedonaknitwitsyarns@gmail.com,Sedona,Knit Wits,US,Arizona,Cottonwood,"1100 AZ-260 Suite 19, Cottonwood, AZ 86326, United States",19286346193,86326,https://www.sedonaknitwits.com/,,Yarn Store
info@fibercreekprescott.com,Fiber ,Creek LLC,US,Arizona,Prescott,"1046 Willow Creek Rd # 123, Prescott, AZ 86301, United States",19287171774,86301,https://www.fibercreekprescott.com/,,Yarn Store
help@birdhouseyarns.com,Birdhouse,Yarns,US,Arizona,Tucson,"2540 E 6th St, Tucson, AZ 85716, United States",15203054187,85716,https://www.birdhouseyarns.com/,,Yarn Store
theroyalbeeyarncompany@gmail.com,The Royal,Bee,US,California,Pacifica,"1922 Palmetto Ave, Pacifica, CA 94044, United States",16508988329,94044,https://www.theroyalbeeyarncompany.com/,,Yarn Store
imagikniteast@gmail.com,Imagiknit,,US,California,San Francisco,"3897 18th St, San Francisco, CA 94114, United States",14156216642,94114,https://imagiknit.com/,,Yarn Store
yarn.n.thread@gmail.com,Yarn & Thread ,Expressions,US,California,La Mesa,"7882 La Mesa Blvd, La Mesa, CA 91942, United States",16194609276,91942,http://www.yarneshop.com/,,Yarn Store
destinyarn@gmail.com,Destin,Yarn,US,Florida,Miramar Beach,"12273 U.S. 98 W #109, Miramar Beach, FL 32550, United States",18506500006,32550,,,Yarn Store
thecocoavillageyarnshop@gmail.com,Knit &Stich,Boutique,US,Florida,Cocoa,"15 Stone St, Cocoa, FL 32922, United States",13216324579,32922,https://www.knitandstitchboutique.com/,,Yarn Store
knitorknotyarns@gmail.com,Knit & Knot,Yarns,US,Florida,Jupiter,"1432 S Cypress Dr STE 1, Jupiter, FL 33469, United States",15617461005,33469,http://www.knitorknotyarns.net/,,Yarn Store
paulascraftshop@gmail.com,Paula's,Craft Shop,US,Florida,Leesburg,"35618 Shelley Dr, Leesburg, FL 34788, United States",15012768613,34788,http://paulascraftshop.square.site/,,Craft Store
impallari@gmail.com,Pioneer,Fiber Mill,US,Florida,New Smyrna Beach,"2325 Pioneer Trail, New Smyrna Beach, FL 32168, United States",13864515692,32168,http://pioneerfibermill.com/,,Yarn Store
popyarnybor@gmail.com,Pop,Yarn,US,Florida,Tampa,"1624 E 7th Ave STE 243, Tampa, FL 33605, United States",18134455081,33605,http://www.popyarnllc.com/,,Yarn Store
cliftycreekalpacas@gmail.com,Clifty ,Creek Alpacas,US,Indiana,Milroy,"1161 E 1000 S, Milroy, IN 46156, United States",13176958038,46156,https://www.cliftycreekalpacas.com/,,Yarn Store
omaknitstextile@gmail.com,Oma,Knits,US,Indiana,Indianapolis,"6503 Ferguson St, Indianapolis, IN 46220, United States",13178402345,46220,http://www.omaknitstextileco.com/,,Yarn Store
shabbysheep13@gmail.com,Shabby ,Sheep & Ewe,US,Indiana,Columbus,"1113 16th St, Columbus, IN 47201, United States",18123729276,47201,http://shabbysheepandewe.com/,,Yarn Store
sheepskeins@gmail.com,Sheepskeins,Yarn Store,US,Indiana,Newburgh,"1109 IN-662, Newburgh, IN 47630, United States",18128420200,47630,http://sheepskeins.com/,,Yarn Store
theknittingotter@gmail.com,The Knitting ,Order,US,Indiana,Franklin,"111 E Monroe St, Franklin, IN 46131, United States",13178688094,46131,http://theknittingotter.com/,,Yarn Store
bostonfiberco@gmail.com,Boston,Fiber Company,US,"Massachutes",Boston,"61 Thayer St, Boston, MA 02118, United States",18573271960,20118,http://www.bostonfibercompany.com/,,Yarn Store
CovetedYarn@gmail.com,Coveted,Yarn,US,"Massachutes",Gloucester,"488 Essex Ave, Gloucester, MA 01930, United States",19782828809,1930,http://www.covetedyarn.com/,,Yarn Store
ironhorsefiberart@gmail.com,Iron ,Horse Fiber Art,US,"Massachutes",Sherborn,"29 Coolidge St, Sherborn, MA 01770, United States",15087343434,1770,https://www.ironhorsefiberart.com/,,Yarn Store
northamptonwools29@gmail.com,Northampton ,Wools,US,"Massachutes",Northampton,"29 Pleasant St, Northampton, MA 01060, United States",14135864331,1060,http://www.northamptonwools.com/,,Yarn Store
pradodelana@gmail.com,Prado de,Lana Sheep Farm,US,"Massachutes",Stockbridge,"6 Prospect Hill Rd, Stockbridge, MA 01262, United States",16102338105,1262,http://www.pradodelana.com/,,Yarn Store
stacisstitchesskeins@gmail.com,Staci's ,Stitches and Skeins,US ,"Massachutes",Scituate,"761 Country Way, Scituate, MA 02066, United States",17812067478,20266,http://www.stacisstitches.com/,,Yarn Store
customerservice@yarn.com,WEBS ,America's Yarn Store,US,"Massachutes",Northampton,"75 Service Center Rd, Northampton, MA 01060, United States",18003679327,1060,http://www.yarn.com/,,Yarn Store
614knitstudio@gmail.com,614 Knit ,Studio,US,Ohio,Columbus,"4436 Indianola Ave, Columbus, OH 43214, United States",16146705629,43214,http://www.614knitstudio.com/,,Yarn Store
loiswgn@gmail.com,Fiber,Fun Studio,US,Ohio,Albany,"28743 Gaston Rd, Albany, OH 45710, United States",17406980101,45710,http://www.fiberfunstudio.com/,,Yarn Store
knit2temptations@gmail.com,Knitting ,Temptations,US,Ohio,Upper Arlington,"COhatch - 2nd Floor, 1733 W Lane Ave, Upper Arlington, OH 43221, United States",16147340618,,http://www.knittingtemptations.com/,,Yarn Store
Woolybullyyarn@gmail.com,Wooly,Bully,US,Ohio,Springboro,"135 S Main St, Springboro, OH 45066, United States",19377481002,45066,https://www.woolybullyyarncompany.com/,,Yarn Store
yarnitanddash@gmail.com,Yarn It ,& Haberdashery,US,Ohio,Grandview heights,"1093 W 1st Ave, Grandview Heights, OH 43212, United States",16147366464,43212,https://shop.yarnitanddash.com/,,Yarn Store
yesterdaysewes@gmail.com,Yesterday 's ,Ewes,US,Ohio,London,"100 S Main St, London, OH 43140, United States",17408458840,43140,http://www.yesterdaysewes.com/,,Yarn Store
PurlsofWisdomPA@gmail.com,Purls ,Of Wisdom,US,Pennsylvania,Phoenixville,"550 Kimberton Rd, Phoenixville, PA 19460, United States",16109335010,19460,https://www.purlsofwisdompa.com/,,Yarn Store
sewickleyyarns@gmail.com,Sewickly ,Yarns,US,Pennsylvania,Sewickley,"435 Beaver St, Sewickley, PA 15143, United States",14127418894,15143,http://www.sewickleyyarns.com/,,Yarn Store
stringtheoryyarnshop@gmail.com,String,Theory,US,Pennsylvania,Lemoyne,"829 State St Suite 2005, Lemoyne, PA 17043, United States",17177751689,17043,http://www.stringtheoryyarnshop.com/,,Yarn Store
yarningtown@gmail.com,Yarningtown,LLC,US,Pennsylvania,DowningTown,"4309 Lincoln Hwy E, Downingtown, PA 19335, United States",16103140807,19335,http://www.yarningtown.com/,,Yarn Store
onthelambknits@gmail.com,On The Lamb ,Yarn Shopee,US,Texas,Grapevine,"260 N Main St, Grapevine, TX 76051, United States",18175276177,76051,http://onthelambyarnshoppe.com/,,Yarn Store
themodernskein@gmail.com,The Modern ,Skein,US,Texas,Montgomery,"208 McCown St suite 100-110, Montgomery, TX 77356, United States",19364363615,77356,http://themodernskein.com/,,Yarn Store
thesocialknitworkots@gmail.com,The Social,Knitwork,US,Texas,Spring ,"26511 Keith St, Spring, TX 77373, United States",12816304144,77373,http://www.thesocialknitworkots.com/,,Knit Shop
yarnivoresa@gmail.com,Yarnivore,,US,Texas,San Antonio,"2357 NW Military Hwy, San Antonio, TX 78231, United States",12109798255,78231,http://www.yarnivoresa.net/,,Yarn Store
mariannesbreiboetiek@gmail.com,Marianne's ,Brei- en Haakboetiek,UK,Netherlands,Ridderkerk,"Rijsoordsestraat 30, 2988 XP Ridderkerk, Netherlands",31624332291,2988,http://www.marianne-breiboetiek.nl/,,Wool Store
centeroftheyarniverse@gmail.com,Center ,of the Yarniverse,US,Virginia,Ashland,"112 England St, Ashland, VA 23005, United States",18043627800,23005,https://centeroftheyarniverse.com/,,Yarn Store
FinnegansRunLYS@gmail.com,Finnegan's ,Run Yarn & Gifts,US,Virginia,Fredericksburg,"1145 Emancipation Hwy, Fredericksburg, VA 22401, United States",15403730670,22401,https://finnegansrunyarn.com/,,Yarn Store
housemountainyarnco@gmail.com ,House ,Mountain Yarn Co.,US,Virginia,Lexington,"117 S Main St, Lexington, VA 24450, United States",15404622931,24450,http://www.housemountainyarn.com/,,Yarn Store
RiverCityKnittersRVA@gmail.com,River ,City Knitters,US,Virginia,Richmond,"1717 Bellevue Ave, Richmond, VA 23227, United States",18043561954,23227,https://www.rivercityknittersrva.org/,,Knit Shop
susansyarnstash@gmail.com,Susan's ,Yarn Stash,US,Virginia,Fishersville,"1838 Jefferson Hwy, Fishersville, VA 22939, United States",15404718222,22939,http://www.susansyarnstash.com/,,Yarn Store
knittincoop@gmail.com ,The Knittin',"Coop, LLC",US,Virginia,Salem,"7 S College Ave, Salem, VA 24153, United States",15405882447,24153,http://theknittincoop.com/,,Knit Shop
stitchwitchofbedford@gmail.com,The Stitch ,Witch,US,Virginia,Bedford,"210 N Bridge St, Bedford, VA 24523, United States",15408740102,24523,https://www.stitchwitchofbedfordva.com/,,Yarn Store
vablueridgeyarncrawl@gmail.com,Virginia ,Blue Ridge Yarn Crawl,US,,,,15409448221,,https://www.vablueridgeyarncrawl.com/,,Yarn Store
yarnseasons@gmail.com,Yarn,Seasons,US,Virginia,Hardy,"13105 Booker T Washington Hwy Suite B3, Hardy, VA 24101, United States",15404201289,24101,http://www.yarnseasons.com/,,Yarn Store
yarntuary@gmail.com,Yarntuary,,US,Virginia,Fredericksburg,"1517 Princess Anne St, Fredericksburg, VA 22401, United States",,22401,https://yarntuary.com/,,Yarn Store
fiberartwork@gmail.com,Fiber ,Art Work,US,Alabama,Huntsville,"817 Regal Dr SW, Huntsville, AL 35801, United States",12566560163,35801,https://www.fiberartwork.com/,,Yarn Store
papercraneyarns@gmail.com,Paprer ,Crane Yarns,US,Alabama,Calera,"1040 14th St STE C, Calera, AL 35040, United States",12054361333,35040,http://www.papercraneyarns.com/,,Yarn Store
theyarnwinder@gmail.com,The Yarn ,Winder,US,Georgia,Winder,"137 N Broad St Suite E, Winder, GA 30680, United States",16784250784,30680,http://theyarnwinder.com/,,Yarn Store
yarningtown@gmail.com,Yarningtown ,LLC,US,Pennsylvania,Downingtown,"4309 Lincoln Hwy E, Downingtown, PA 19335, United States",16103140807,19335,http://www.yarningtown.com/,,Yarn Store
ninfo.yarnsetc@gmail.com,Yarns ,Etc.,US,,,,,,https://yarnsetc.com/,,Yarn Store
BeadAdyxYarn@gmail.com,Bead ,Adyx Yarn and More ,US,New Jersey,Magnolia,"217 N Warwick Rd, Magnolia, NJ 08049, United States",18563085118,8049,http://www.beadadyxyarn.com/,,Yarn Store
fiberarts315@gmail.com,Fiber ,Arts,US,New Jersey, Cape May Court House,"24 NJ-47 South, Cape May Court House, NJ 08210, United States",16098988080,8210,http://fiberartsyarnshop.com/,,Yarn Store
graceandpurl@gmail.com,Grace ,& Purl,US,New Jersey,Avon-By-The-Sea,"218 Main St, Avon-By-The-Sea, NJ 07717, United States",17329638719,7717,http://www.graceandpurl.com/,,Yarn Store
knitknotnatter@gmail.com,Knit Knot & Natter,& Natter,US,New Jersey,Pompton Plains,"610 Newark Pompton Turnpike Unit B, Pompton Plains, NJ 07444, United States",19732486522,,https://www.knitknotnatter.com/,,Yarn Store
knitonestitchtoo@gmail.com,Knit One ,Stitch Too,US,New Jersey,Pennington,"16 N Main St, Pennington, NJ 08534, United States",16097372211,8534,http://www.k1st2.com/,,Needle work shop
